probeid	MSU6
1553174_at NA
1553175_s_at NA
1553176_at NA
1553177_at NA
1553178_a_at NA
1553179_at NA
1553180_at NA
1553181_at NA
1553183_at NA
1553185_at NA
1553186_x_at NA
1553188_s_at NA
1553190_s_at NA
1553191_at NA
1553192_at NA
1553193_at NA
1553194_at NA
1553196_a_at NA
1553197_at NA
1553199_at NA
1553202_at NA
1553204_at NA
1553205_at NA
1553207_at NA
1553208_s_at NA
1553209_at NA
1553211_at NA
1553212_at NA
1553213_a_at NA
1553214_a_at NA
1553215_s_at NA
1553216_at NA
1553217_s_at NA
1553218_a_at NA
1553219_a_at NA
1553220_at NA
1553221_at NA
1553222_at NA
1553224_at NA
1553225_s_at NA
1553226_at NA
1553227_s_at NA
1553228_at NA
1553229_at NA
1553232_at NA
1553234_at NA
1553235_at NA
1553237_x_at NA
1553238_a_at NA
1553239_at NA
1553241_at NA
1553243_at NA
1553244_at NA
1553246_a_at NA
1553247_a_at NA
1553248_at NA
1553249_at NA
1553252_a_at NA
1553253_at NA
1553254_at NA
1553255_at NA
1553257_at NA
1553258_at NA
1553260_s_at NA
1553261_x_at NA
1553262_a_at NA
1553263_at NA
1553264_a_at NA
1553265_at NA
1553266_at NA
1553267_a_at NA
1553268_at NA
1553269_at NA
1553271_at NA
1553272_at NA
1553274_a_at NA
1553275_s_at NA
1553276_at NA
1553277_at NA
1553279_at NA
1553280_at NA
1553281_at NA
1553282_at NA
1553284_s_at NA
1553285_s_at NA
1553286_at NA
1553288_a_at NA
1553292_s_at NA
1553293_at NA
1553295_at NA
1553296_at NA
1553297_a_at NA
1553298_at NA
1553299_at NA
1553300_a_at NA
1553301_a_at NA
1553303_at NA
1553304_at NA
1553306_at NA
1553310_at NA
1553311_at NA
1553313_s_at NA
1553314_a_at NA
1553315_at NA
1553316_at NA
1553317_s_at NA
1553318_at NA
1553319_at NA
1553320_s_at NA
1553321_a_at NA
1553322_s_at NA
1553323_a_at NA
1553325_at NA
1553326_at NA
1553327_a_at NA
1553328_a_at NA
1553329_at NA
1553330_at NA
1553333_at NA
1553335_x_at NA
1553336_a_at NA
1553338_at NA
1553340_s_at NA
1553341_at NA
1553344_at NA
1553346_a_at NA
1553347_s_at NA
1553348_a_at NA
1553349_at NA
1553350_at NA
1553351_at NA
1553352_x_at NA
1553354_a_at NA
1553355_at NA
1553356_at NA
1553357_at NA
1553359_at NA
1553361_x_at NA
1553362_at NA
1553363_at NA
1553364_at NA
1553365_at NA
1553366_s_at NA
1553367_a_at NA
1553369_at NA
1553371_at NA
1553372_at NA
1553373_at NA
1553374_at NA
1553375_at NA
1553376_a_at NA
1553378_a_at NA
1553380_at NA
1553383_at NA
1553385_at NA
1553386_at NA
1553387_at NA
1553388_at NA
1553389_at NA
1553390_at NA
1553391_at NA
1553392_at NA
1553394_a_at NA
1553395_a_at NA
1553396_a_at NA
1553397_at NA
1553398_at NA
1553399_a_at NA
1553400_a_at NA
1553401_at NA
1553402_a_at NA
1553403_at NA
1553405_a_at NA
1553407_at NA
1553409_at NA
1553410_a_at NA
1553411_s_at NA
1553412_at NA
1553413_at NA
1553415_at NA
1553417_at NA
1553418_a_at NA
1553420_at NA
1553422_s_at NA
1553423_a_at NA
1553424_at NA
1553425_at NA
1553426_at NA
1553427_at NA
1553428_at NA
1553429_at NA
1553430_a_at NA
1553432_s_at NA
1553433_at NA
1553434_at NA
1553435_at NA
1553436_at NA
1553437_at NA
1553438_at NA
1553439_at NA
1553440_at NA
1553441_at NA
1553442_a_at NA
1553443_at NA
1553444_a_at NA
1553446_at NA
1553447_at NA
1553448_at NA
1553449_at NA
1553450_s_at NA
1553451_at NA
1553452_at NA
1553453_at NA
1553454_at NA
1553456_at NA
1553457_at NA
1553458_at NA
1553459_at NA
1553460_at NA
1553461_at NA
1553462_at NA
1553464_at NA
1553465_a_at NA
1553466_at NA
1553467_at NA
1553468_at NA
1553470_at NA
1553471_at NA
1553472_at NA
1553474_at NA
1553475_at NA
1553478_at NA
1553479_at NA
1553482_at NA
1553483_at NA
1553484_at NA
1553485_at NA
1553486_a_at NA
1553488_at NA
1553489_a_at NA
1553491_at NA
1553492_a_at NA
1553493_a_at NA
1553494_at NA
1553497_at NA
1553498_at NA
1553499_s_at NA
1553500_at NA
1553502_a_at NA
1553504_at NA
1553505_at NA
1553506_at NA
1553507_a_at NA
1553508_at NA
1553510_s_at NA
1553511_at NA
1553512_at NA
1553513_at NA
1553514_a_at NA
1553515_at NA
1553517_at NA
1553518_at NA
1553519_at NA
1553521_at NA
1553523_at NA
1553524_at NA
1553525_at NA
1553526_at NA
1553527_at NA
1553528_a_at NA
1553529_at NA
1553530_a_at NA
1553531_at NA
1553532_a_at NA
1553533_at NA
1553534_at NA
1553535_a_at NA
1553536_at NA
1553537_at NA
1553538_s_at NA
1553539_at NA
1553540_a_at NA
1553541_at NA
1553542_at NA
1553544_at NA
1553545_at NA
1553546_at NA
1553547_at NA
1553549_at NA
1553550_at NA
1553551_s_at NA
1553552_at NA
1553553_at NA
1553555_at NA
1553556_at NA
1553558_at NA
1553559_at NA
1553560_at NA
1553561_at NA
1553562_at NA
1553564_at NA
1553565_s_at NA
1553566_at NA
1553567_s_at NA
1553568_a_at NA
1553569_at NA
1553570_x_at NA
1553572_a_at NA
1553573_s_at NA
1553574_at NA
1553575_at NA
1553579_a_at NA
1553581_s_at NA
1553582_a_at NA
1553583_a_at NA
1553584_at NA
1553585_a_at NA
1553586_at NA
1553587_a_at NA
1553588_at NA
1553589_a_at NA
1553590_at NA
1553591_at NA
1553592_x_at NA
1553593_a_at NA
1553594_a_at NA
1553599_a_at NA
1553600_at NA
1553601_a_at NA
1553602_at NA
1553603_s_at NA
1553604_at NA
1553605_a_at NA
1553607_at NA
1553608_a_at NA
1553611_s_at NA
1553612_at NA
1553613_s_at NA
1553614_a_at NA
1553618_at NA
1553619_a_at NA
1553620_at NA
1553622_a_at NA
1553623_at NA
1553625_at NA
1553626_a_at NA
1553627_s_at NA
1553629_a_at NA
1553630_at NA
1553633_s_at NA
1553634_a_at NA
1553635_s_at NA
1553636_at NA
1553637_s_at NA
1553639_a_at NA
1553640_at NA
1553641_a_at NA
1553642_at NA
1553644_at NA
1553645_at NA
1553646_at NA
1553647_at NA
1553651_at NA
1553652_a_at NA
1553654_at NA
1553655_at NA
1553656_at NA
1553657_at NA
1553658_at NA
1553660_at NA
1553661_a_at NA
1553663_a_at NA
1553666_at NA
1553668_at NA
1553670_at NA
1553672_at NA
1553673_at NA
1553674_at NA
1553675_at NA
1553677_a_at NA
1553678_a_at NA
